Collection/Population Locality,SpecimenNumber,Genus,Species,Length
Hawkens,HO299,Bison,antiquus,8
Hawkens,HO300,Bison,antiquus,9
Hawkens,HO301,Bison,antiquus,7
Hawkens,HO302,Bison,antiquus,7
Hawkens,HO303,Bison,antiquus,8
Hawkens,HO304,Bison,antiquus,8
Hawkens,HO305,Bison,antiquus,7
Hawkens,HO306,Bison,antiquus,8
Hawkens,HO307,Bison,antiquus,7
Hawkens,HO308,Bison,antiquus,9
Hawkens,HO309,Bison,antiquus,8
Hawkens,HO310,Bison,antiquus,9
Hawkens,HO318,Bison,antiquus,7
Hudson Meng,120-62,Bison,antiquus,7
Hudson Meng,121-1,Bison,antiquus,8
Hudson Meng,138-86,Bison,antiquus,8
Hudson Meng,151-27,Bison,antiquus,9
Hudson Meng,157-16,Bison,antiquus,8
Hudson Meng,157-62,Bison,antiquus,9
Hudson Meng,157-78,Bison,antiquus,7
Hudson Meng,174-52,Bison,antiquus,7
Hudson Meng,194-17A,Bison,antiquus,7
Hudson Meng,194-20A,Bison,antiquus,9
Hudson Meng,198-21C,Bison,antiquus,7
Hudson Meng,209-29,Bison,antiquus,7
Hudson Meng,211-31E,Bison,antiquus,8
Hudson Meng,223-23D,Bison,antiquus,7
Hudson Meng,224-38,Bison,antiquus,7
Hudson Meng,239-4,Bison,antiquus,8
Hudson Meng,34-13,Bison,antiquus,9
Hudson Meng,348-62,Bison,antiquus,9
Hudson Meng,35-23,Bison,antiquus,8
Hudson Meng,35-38,Bison,antiquus,9
Hudson Meng,363-31,Bison,antiquus,8
Hudson Meng,364-32,Bison,antiquus,7
Hudson Meng,36-49,Bison,antiquus,8
Hudson Meng,396-24,Bison,antiquus,7
Hudson Meng,409-3,Bison,antiquus,8
Hudson Meng,416-2,Bison,antiquus,7
Hudson Meng,422-1,Bison,antiquus,8
Hudson Meng,426-27,Bison,antiquus,9
Hudson Meng,426-5,Bison,antiquus,8
Hudson Meng,444-23,Bison,antiquus,8
Hudson Meng,444-24,Bison,antiquus,9
Hudson Meng,471-16,Bison,antiquus,9
Hudson Meng,476-29,Bison,antiquus,9
Hudson Meng,479-79,Bison,antiquus,8
Hudson Meng,514-27,Bison,antiquus,9
Hudson Meng,529-35A,Bison,antiquus,8
Hudson Meng,543-17,Bison,antiquus,9
Hudson Meng,543-26,Bison,antiquus,9
Hudson Meng,544-1,Bison,antiquus,7
Hudson Meng,550-6A,Bison,antiquus,8
Hudson Meng,559-22,Bison,antiquus,9
Hudson Meng,720-27,Bison,antiquus,9
Hudson Meng,76-7,Bison,antiquus,7
Hudson Meng,C14,Bison,antiquus,7
Interstate Park,8525,Bison,occidentalis,9
Interstate Park,8529,Bison,occidentalis,9
Interstate Park,8531,Bison,occidentalis,7
Interstate Park,8532,Bison,occidentalis,8
Interstate Park,8533,Bison,occidentalis,9
Interstate Park,8534,Bison,occidentalis,7
Interstate Park,8535,Bison,occidentalis,8
Interstate Park,8537,Bison,occidentalis,7
Interstate Park,8541,Bison,occidentalis,8
Interstate Park,8544,Bison,occidentalis,7
Interstate Park,8546,Bison,occidentalis,7
Interstate Park,8547,Bison,occidentalis,8
Interstate Park,8550,Bison,occidentalis,8
Interstate Park,8551,Bison,occidentalis,8
Interstate Park,8554,Bison,occidentalis,7
Itasca,177.1,Bison,occidentalis,7
Itasca,177.1,Bison,occidentalis,8
Itasca,177.1,Bison,occidentalis,9
Itasca,177.1,Bison,occidentalis,9
Itasca,177.1,Bison,occidentalis,8
Itasca,177.1,Bison,occidentalis,7
Itasca,177.1,Bison,occidentalis,9
Itasca,540.431,Bison,occidentalis,7
Itasca,570.175,Bison,occidentalis,7
Itasca,177.2 62W 9.2,Bison,occidentalis,8
Itasca,177.2 67W 9.9,Bison,occidentalis,7
Itasca,177.2 72W 9.1,Bison,occidentalis,7
Itasca,177.2 84W 9.1,Bison,occidentalis,8
Itasca,177.3 54W 7.55,Bison,occidentalis,9
Itasca,177.3 57W 8.1,Bison,occidentalis,8
Itasca,177.3 58W 7.5,Bison,occidentalis,8
Jurgens,17,Bison,antiquus,8
Jurgens,19,Bison,antiquus,8
Jurgens,91,Bison,antiquus,7
Jurgens,14H100-15,Bison,antiquus,9
Jurgens,14H89-23,Bison,antiquus,8
Jurgens,14H89-40,Bison,antiquus,7
Jurgens,14H89-68,Bison,antiquus,7
Jurgens,14H90,Bison,antiquus,7
Jurgens,15I12-187,Bison,antiquus,8
Jurgens,15I12-226,Bison,antiquus,7
Jurgens,15I13-206,Bison,antiquus,8
Jurgens,15I23-57,Bison,antiquus,7
Jurgens,15I24-116,Bison,antiquus,8
Jurgens,15I25-23,Bison,antiquus,8
Jurgens,15I3-40,Bison,antiquus,8
Jurgens,15I4-3,Bison,antiquus,7
Jurgens,15I66-1,Bison,antiquus,9
Jurgens,16C-45,Bison,antiquus,7
Jurgens,JU SB16,Bison,antiquus,9
Jurgens,TEST PIT C,Bison,antiquus,8
"Kenora, Ontario",V-1914,Bison,antiquus,7
La Brea-Pit 13,Y1000,Bison,antiquus,8
La Brea-Pit 13,Y1013,Bison,antiquus,8
La Brea-Pit 13,Y1019,Bison,antiquus,8
La Brea-Pit 13,Y1110,Bison,antiquus,7
La Brea-Pit 13,Y1112,Bison,antiquus,8
La Brea-Pit 13,Y1142,Bison,antiquus,9
La Brea-Pit 13,Y996,Bison,antiquus,8
La Brea-Pit 3 Lower,Y1003,Bison,antiquus,9
La Brea-Pit 3 Lower,Y995,Bison,antiquus,9
La Brea-Pit 3 upper,Y1001,Bison,antiquus,9
La Brea-Pit 3 upper,Y1002,Bison,antiquus,8
La Brea-Pit 3 upper,Y1005,Bison,antiquus,7
La Brea-Pit 3 upper,Y1008,Bison,antiquus,9
La Brea-Pit 3 upper,Y1011,Bison,antiquus,7
La Brea-Pit 3 upper,Y1012,Bison,antiquus,9
La Brea-Pit 3 upper,Y1016,Bison,antiquus,8
La Brea-Pit 3 upper,Y1018,Bison,antiquus,9
La Brea-Pit 3 upper,Y1021,Bison,antiquus,7
La Brea-Pit 3 upper,Y1023,Bison,antiquus,9
La Brea-Pit 3 upper,Y1145,Bison,antiquus,7
La Brea-Pit 3 upper,Y1149,Bison,antiquus,9
La Brea-Pit 3 upper,Y985,Bison,antiquus,9
La Brea-Pit 3 upper,Y986,Bison,antiquus,8
La Brea-Pit 3 upper,Y988,Bison,antiquus,8
La Brea-Pit 3 upper,Y991,Bison,antiquus,7
La Brea-Pit 3 upper,Y992,Bison,antiquus,8
La Brea-Pit 61/67,Y1006,Bison,antiquus,8
La Brea-Pit 61/67,Y1009,Bison,antiquus,9
La Brea-Pit 61/67,Y989,Bison,antiquus,9
La Brea-Pit 61/67,Y993,Bison,antiquus,8
La Brea-Pit 77,Y1024,Bison,antiquus,7
La Brea-Pit 77,Y1026,Bison,antiquus,9
La Brea-Pit 77,Y1128,Bison,antiquus,8
La Brea-Pit 77,Y987,Bison,antiquus,7
La Brea-Pit 77,Y997,Bison,antiquus,7
La Brea-Pit 77,Y998,Bison,antiquus,7
La Brea-Pit 81,Y1146,Bison,antiquus,9
La Brea-Pit 91,R29818,Bison,antiquus,9
La Brea-Pit 91,R36960,Bison,antiquus,7
La Brea-Pit 91,R37122,Bison,antiquus,9
La Brea-Pit 91,R39218,Bison,antiquus,7
LACMHC,Y1113,Bison,antiquus,7
LACMHC,Y1115,Bison,antiquus,8
LACMHC,Y1116,Bison,antiquus,8
LACMHC,Y1117,Bison,antiquus,7
LACMHC,Y1118,Bison,antiquus,8
LACMHC,Y1119,Bison,antiquus,9
LACMHC,Y1120,Bison,antiquus,8
LACMHC,Y1122,Bison,antiquus,7
LACMHC,Y1123,Bison,antiquus,7
LACMHC,Y1125,Bison,antiquus,7
LACMHC,Y1126,Bison,antiquus,8
LACMHC,Y1129,Bison,antiquus,9
LACMHC,Y1130,Bison,antiquus,9
LACMHC,Y1131,Bison,antiquus,8
LACMHC,Y1132,Bison,antiquus,7
LACMHC,Y1133,Bison,antiquus,7
LACMHC,Y1134,Bison,antiquus,8
LACMHC,Y1135,Bison,antiquus,9
LACMHC,Y1136,Bison,antiquus,7
LACMHC,Y1137,Bison,antiquus,9
LACMHC,Y1138,Bison,antiquus,7
LACMHC,Y1139,Bison,antiquus,9
LACMHC,Y1140,Bison,antiquus,8
LACMHC,Y1141,Bison,antiquus,8
LACMHC,Y1143,Bison,antiquus,8
LACMHC,Y1144,Bison,antiquus,8
LACMHC,Y1147,Bison,antiquus,7
LACMHC,Y1148,Bison,antiquus,7
LACMHC,Y1150,Bison,antiquus,8
LACMHC,Y1151,Bison,antiquus,7
LACMHC,Y1152,Bison,antiquus,8
LACMHC,Y1153,Bison,antiquus,9
LACMHC,Y1154,Bison,antiquus,8
LACMHC,Y1157,Bison,antiquus,8
LACMHC,Y1158,Bison,antiquus,9
LACMHC,Y1159,Bison,antiquus,9
LACMHC,Y1160,Bison,antiquus,9
LACMHC,Y1161,Bison,antiquus,8
Lindenmeier,1936,Bison,antiquus,7
Lindenmeier,1936,Bison,antiquus,8
Lindenmeier,1936,Bison,antiquus,7
Lindenmeier,4A,Bison,antiquus,7
Lindenmeier,5A,Bison,antiquus,8
Lindenmeier,5B,Bison,antiquus,8
Lipscomb,16103-39,Bison,antiquus,7
Lipscomb,16131-39,Bison,antiquus,9
Lipscomb,16135-39,Bison,antiquus,7
Lipscomb,16135-39,Bison,antiquus,9
Lipscomb,16135-39,Bison,antiquus,8
Lipscomb,16145-39,Bison,antiquus,9
Lipscomb,16150-39,Bison,antiquus,8
Lipscomb,16155-39,Bison,antiquus,8
Lipscomb,16155-39,Bison,antiquus,8
Lipscomb,16174-39,Bison,antiquus,9
Lipscomb,16180-39,Bison,antiquus,7
Lipscomb,16182-39,Bison,antiquus,9
Lipscomb,16229-39,Bison,antiquus,9
Lipscomb,16230-39,Bison,antiquus,7
Lipscomb,16243-39,Bison,antiquus,7
Lipscomb,16268-39,Bison,antiquus,8
Lipscomb,16278-39,Bison,antiquus,7
Lipscomb,16278-39,Bison,antiquus,9
Lipscomb,16353-39,Bison,antiquus,9
Lipscomb,16487-39,Bison,antiquus,7
Lipscomb,16498-39,Bison,antiquus,9
Lipscomb,16565-39,Bison,antiquus,9
Lipscomb,16585-39,Bison,antiquus,7
Lipscomb,16585-39,Bison,antiquus,8
Lipscomb,16585-39,Bison,antiquus,7
Lipscomb,16585-39,Bison,antiquus,8
Lipscomb,16667-39,Bison,antiquus,7
Lipscomb,16667-39,Bison,antiquus,8
Lipscomb,16667-39,Bison,antiquus,8
Lipscomb,16796-39,Bison,antiquus,8
Lipscomb,16802-39,Bison,antiquus,9
Lipscomb,16817-39,Bison,antiquus,8
Lipscomb,A,Bison,antiquus,8
Lipscomb,AAA,Bison,antiquus,7
Lodgepole Creek,SUR-12,Bison,antiquus,8
Lodgepole Creek,SUR-82,Bison,antiquus,7
Lodgepole Creek,T60-13-14,Bison,antiquus,9
Lodgepole Creek,T60-15-13,Bison,antiquus,7
Lodgepole Creek,T60-15-14,Bison,antiquus,8
Lodgepole Creek,T60-17-7,Bison,antiquus,7
Lodgepole Creek,T60-25-12,Bison,antiquus,8
Lodgepole Creek,T60-25-21,Bison,antiquus,7
Logan Creek-Zone B,9662,Bison,antiquus,7
Logan Creek-Zone B,9840,Bison,antiquus,8
Logan Creek-Zone B,10149,Bison,antiquus,8
Logan Creek-Zone B,10170,Bison,antiquus,9
Logan Creek-Zone B,10282,Bison,antiquus,7
Logan Creek-Zone B,10283,Bison,antiquus,7
Logan Creek-Zone B,10741,Bison,antiquus,9
Logan Creek-Zone B,1996-10,Bison,antiquus,7
"Lubbuck Lake TTM Station E, Strat 3",537-892-121 3E,Bison,antiquus,8
"Lubbuck Lake TTM Station E, Strat 3",537-892-122 3E,Bison,antiquus,8
"Lubbuck Lake TTM Station E, Strat 3",537-892-123 3E,Bison,antiquus,9
"Lubbuck Lake TTM Station E, Strat 3",537-892-125 3E,Bison,antiquus,9
"Lubbuck Lake TTM Station E, Strat 3",537-892-126 3E,Bison,antiquus,8
"Lubbuck Lake TTM Station E, Strat 3",537-892-129 3E,Bison,antiquus,8
"Lubbuck Lake TTM Station E, Strat 3",537-892-152 3E,Bison,antiquus,9
"Lubbuck Lake TTM Station E, Strat 3",537-892-153 3E,Bison,antiquus,7
"Lubbuck Lake TTM Station E, Strat 3",537-892-154 3E,Bison,antiquus,7
"Lubbuck Lake TTM Station E, Strat 3",537-892-154 3E,Bison,antiquus,7
"Lubbuck Lake TTM Station E, Strat 3",892-3E,Bison,antiquus,8
Mavrakis-Bentzen-Roberts,B4954,Bison,bison,7
Mavrakis-Bentzen-Roberts,B9107,Bison,bison,8
Mavrakis-Bentzen-Roberts,B9310,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9313,Bison,bison,8
Mavrakis-Bentzen-Roberts,B9402,Bison,bison,7
Mavrakis-Bentzen-Roberts,B9413,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9470,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9471,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9475,Bison,bison,8
Mavrakis-Bentzen-Roberts,B9551,Bison,bison,7
Mavrakis-Bentzen-Roberts,B9749,Bison,bison,8
Mavrakis-Bentzen-Roberts,B9750,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9792,Bison,bison,8
Mavrakis-Bentzen-Roberts,B9803,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9875,Bison,bison,9
Mavrakis-Bentzen-Roberts,B9896,Bison,bison,7
Mavrakis-Bentzen-Roberts,C0056,Bison,bison,8
Mavrakis-Bentzen-Roberts,C0084,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0098,Bison,bison,8
Mavrakis-Bentzen-Roberts,C0220,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0233,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0418,Bison,bison,7
Mavrakis-Bentzen-Roberts,C0488,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0616,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0617,Bison,bison,8
Mavrakis-Bentzen-Roberts,C0652,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0667,Bison,bison,9
Mavrakis-Bentzen-Roberts,C0759,Bison,bison,7
Mavrakis-Bentzen-Roberts,C0852,Bison,bison,7
Mavrakis-Bentzen-Roberts,C1108,Bison,bison,8
Mavrakis-Bentzen-Roberts,C1109,Bison,bison,9
Mavrakis-Bentzen-Roberts,C1414,Bison,bison,7
Mavrakis-Bentzen-Roberts,C1415,Bison,bison,9
Mavrakis-Bentzen-Roberts,C1431,Bison,bison,8
Mavrakis-Bentzen-Roberts,C1502,Bison,bison,7
Mavrakis-Bentzen-Roberts,C1518,Bison,bison,8
Mavrakis-Bentzen-Roberts,C1596,Bison,bison,9
Mavrakis-Bentzen-Roberts,C1646,Bison,bison,8
Mavrakis-Bentzen-Roberts,C1883,Bison,bison,7
Mavrakis-Bentzen-Roberts,C1897,Bison,bison,7
Mavrakis-Bentzen-Roberts,C1909,Bison,bison,9
Mavrakis-Bentzen-Roberts,C1984,Bison,bison,8
Mavrakis-Bentzen-Roberts,C1987,Bison,bison,7
Mavrakis-Bentzen-Roberts,C2087,Bison,bison,9
Mavrakis-Bentzen-Roberts,C2120,Bison,bison,9
Mavrakis-Bentzen-Roberts,C2265,Bison,bison,9
Mavrakis-Bentzen-Roberts,C2522,Bison,bison,8
Mavrakis-Bentzen-Roberts,C2570,Bison,bison,9
Mavrakis-Bentzen-Roberts,C2609,Bison,bison,9
Mavrakis-Bentzen-Roberts,C2610,Bison,bison,7
Mavrakis-Bentzen-Roberts,C2705,Bison,bison,8
Mavrakis-Bentzen-Roberts,C2710,Bison,bison,8
Mavrakis-Bentzen-Roberts,C2758,Bison,bison,7
Mavrakis-Bentzen-Roberts,C2817,Bison,bison,7
Milburn,10076-69,Bison,antiquus,7
Milburn,10540-69,Bison,antiquus,9
Milburn,11220-69,Bison,antiquus,8
Milburn,11222-69,Bison,antiquus,8
Milburn,3140-65,Bison,antiquus,8
Milburn,4738-65,Bison,antiquus,7
Milburn,4744-65,Bison,antiquus,8
Milburn,4749-65,Bison,antiquus,8
Milburn,5239-65,Bison,antiquus,8
Milburn,5365-65,Bison,antiquus,8
Milburn,5497-65,Bison,antiquus,8
Milburn,5585-65,Bison,antiquus,8
Milburn,5598-65,Bison,antiquus,8
Milburn,5830-65,Bison,antiquus,8
Milburn,5831-65,Bison,antiquus,9
Milburn,5832-65,Bison,antiquus,9
Mill Iron,3037,Bison,antiquus,7
Mill Iron,L13-16-130,Bison,antiquus,7
Mill Iron,L13-23-158,Bison,antiquus,8
Mill Iron,L13-25-49,Bison,antiquus,8
Mill Iron,M14-10-110,Bison,antiquus,7
Milnesand,1146-51-BD,Bison,antiquus,8
Milnesand,1146-51-BI,Bison,antiquus,9
Milnesand,1146-53BL,Bison,antiquus,9
Modern - Ranch in WY,8330B,Bison,bison,8
Modern - Ranch in WY,8330B,Bison,bison,9
Modern - Ranch in WY,8331B,Bison,bison,8
Modern - Ranch in WY,8331B,Bison,bison,9
Modern - Ranch in WY,8500B,Bison,bison,7
Modern - Ranch in WY,8500B,Bison,bison,8
Modern - Ranch in WY,8501B,Bison,bison,9
Modern - Ranch in WY,8501B,Bison,bison,7
Modern - Ranch in WY,8505B,Bison,bison,7
Modern - Ranch in WY,8505B,Bison,bison,7
Modern - Ranch in WY,8506B,Bison,bison,9
Modern - Ranch in WY,8510B,Bison,bison,7
Modern - Ranch in WY,8529B,Bison,bison,9
Modern - Ranch in WY,8529B,Bison,bison,7
Modern - Ranch in WY,8530B,Bison,bison,8
Modern - Ranch in WY,8636B,Bison,bison,9
Modern - Ranch in WY,8636B,Bison,bison,9
Modern - Ranch in WY,8640B,Bison,bison,7
Modern - Ranch in WY,8640B,Bison,bison,7
Modern - Ranch in WY,9703B,Bison,bison,7
Modern - Ranch in WY,9703B,Bison,bison,7
Modern - Ranch in WY,B0339,Bison,bison,7
Modern - Ranch in WY,B0339,Bison,bison,7
Modern - Ranch in WY,B8222,Bison,bison,8
Modern - Ranch in WY,B8222,Bison,bison,7
Modern - Ranch in WY,B8402,Bison,bison,7
Modern - Ranch in WY,B8402,Bison,bison,7
Museum Northern Arizona - Grand Falls,V8301,Bison,bison,9
Museum Northern Arizona - Grand Falls,V8301,Bison,bison,7
Museum Northern Arizona - Grand Falls,V8301,Bison,bison,9
O.V. Clary,K20-17-267,Bison,antiquus,8
O.V. Clary,K21-07-140,Bison,antiquus,7
O.V. Clary,K21-08-501,Bison,antiquus,7
Olsen-Chubbuck,10500,Bison,antiquus,8
Olsen-Chubbuck,10501,Bison,antiquus,8
Olsen-Chubbuck,10501,Bison,antiquus,7
Olsen-Chubbuck,10501,Bison,antiquus,9
Olsen-Chubbuck,10501,Bison,antiquus,7
Olsen-Chubbuck,10506,Bison,antiquus,7
Olsen-Chubbuck,10513,Bison,antiquus,8
Olsen-Chubbuck,10513,Bison,antiquus,8
Olsen-Chubbuck,10513,Bison,antiquus,9
Olsen-Chubbuck,10522,Bison,antiquus,8
Olsen-Chubbuck,10526,Bison,antiquus,9
Olsen-Chubbuck,10532,Bison,antiquus,7
Olsen-Chubbuck,10537,Bison,antiquus,7
Olsen-Chubbuck,10537,Bison,antiquus,8
Olsen-Chubbuck,10547,Bison,antiquus,9
Olsen-Chubbuck,10566,Bison,antiquus,8
Olsen-Chubbuck,10567,Bison,antiquus,9
Olsen-Chubbuck,10567,Bison,antiquus,7
Olsen-Chubbuck,10567,Bison,antiquus,9
Olsen-Chubbuck,10574,Bison,antiquus,7
Olsen-Chubbuck,10574,Bison,antiquus,7
Olsen-Chubbuck,10591,Bison,antiquus,7
Olsen-Chubbuck,10593,Bison,antiquus,7
Olsen-Chubbuck,10598,Bison,antiquus,9
Olsen-Chubbuck,10600,Bison,antiquus,8
Olsen-Chubbuck,10625,Bison,antiquus,9
Olsen-Chubbuck,10747,Bison,antiquus,9
Olsen-Chubbuck,10748,Bison,antiquus,7
Olsen-Chubbuck,10748,Bison,antiquus,9
Olsen-Chubbuck,10749,Bison,antiquus,8
Olsen-Chubbuck,10749,Bison,antiquus,9
Olsen-Chubbuck,10749,Bison,antiquus,9
Olsen-Chubbuck,10750,Bison,antiquus,8
Olsen-Chubbuck,10750,Bison,antiquus,8
Olsen-Chubbuck,10750,Bison,antiquus,8
Olsen-Chubbuck,10750,Bison,antiquus,9
Olsen-Chubbuck,10750,Bison,antiquus,8
Olsen-Chubbuck,10750,Bison,antiquus,7
Olsen-Chubbuck,10750,Bison,antiquus,8
Olsen-Chubbuck,10751,Bison,antiquus,7
Olsen-Chubbuck,10751,Bison,antiquus,8
Olsen-Chubbuck,10751,Bison,antiquus,8
Olsen-Chubbuck,10751,Bison,antiquus,7
Olsen-Chubbuck,10751,Bison,antiquus,9
Olsen-Chubbuck,10752,Bison,antiquus,9
Olsen-Chubbuck,10752,Bison,antiquus,8
Olsen-Chubbuck,10753,Bison,antiquus,9
Olsen-Chubbuck,10753,Bison,antiquus,7
Olsen-Chubbuck,10753,Bison,antiquus,8
Olsen-Chubbuck,10755,Bison,antiquus,7
Olsen-Chubbuck,10811,Bison,antiquus,9
Olsen-Chubbuck,10818,Bison,antiquus,8
Olsen-Chubbuck,10820,Bison,antiquus,7
Olsen-Chubbuck,10820,Bison,antiquus,9
Olsen-Chubbuck,10825,Bison,antiquus,8
Olsen-Chubbuck,10872,Bison,antiquus,9
Olsen-Chubbuck,10876,Bison,antiquus,7
Olsen-Chubbuck,10876,Bison,antiquus,7
Olsen-Chubbuck,10889,Bison,antiquus,9
Olsen-Chubbuck,10903,Bison,antiquus,7
Olsen-Chubbuck,10938,Bison,antiquus,9
Red Smoke-Levels 78-88,1075-48,Bison,antiquus,8
Red Smoke-Levels 78-88,1613-52,Bison,antiquus,9
Red Smoke-Levels 78-88,1640-52,Bison,antiquus,8
Red Smoke-Levels 78-88,1640-52,Bison,antiquus,9
Red Smoke-Levels 78-88,1793-52,Bison,antiquus,9
Red Smoke-Levels 78-88,566-50,Bison,antiquus,9
Rex Rodgers,1999.27.35.81.531,Bison,antiquus,9
Rex Rodgers,1999.27.35.82.556,Bison,antiquus,9
Rex Rodgers,1999.27.35.83.569,Bison,antiquus,8
Rourke,6256B,Bison,bison,8
Rourke,6301B,Bison,bison,8
Rourke,6934B,Bison,bison,8
Rourke,6935B,Bison,bison,7
Rourke,6939B,Bison,bison,8
Rourke,6939B,Bison,bison,8
Rourke,6942B,Bison,bison,8
Rourke,6944B,Bison,bison,7
Rourke,6945B,Bison,bison,7
Rourke,6946B,Bison,bison,9
Rourke,6948B,Bison,bison,9
Rustad,94-16-12-1,Bison,occidentalis,7
Rustad,94-19-6-7 N8E15,Bison,occidentalis,9
Rustad,94-21-7-3,Bison,occidentalis,8
Rustad,94-21-7-3,Bison,occidentalis,7
Rustad,94-23-7-2,Bison,occidentalis,7
Rustad,94-25-10-2,Bison,occidentalis,9
Rustad,96-83-6/3-1,Bison,occidentalis,9
Rustad,"Block 1, surface",Bison,occidentalis,8
Scott County Pueblo,5237,Bison,antiquus,8
Scott County Pueblo,19073,Bison,antiquus,9
Scott County Pueblo,38182,Bison,antiquus,7
Scott County Pueblo,42935,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,7
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Scottsbluff,10-6-32-SP,Bison,antiquus,7
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,9
Scottsbluff,10-6-32-SP,Bison,antiquus,8
Simonsen,52,Bison,antiquus,9
Simonsen,273.58.Z,Bison,antiquus,9
Simonsen,273.58.Z,Bison,antiquus,9
Simonsen,273-58,Bison,antiquus,7
Simonsen,274.58.Z,Bison,antiquus,7
Simonsen,274-58,Bison,antiquus,7
Simonsen,275.58.Z,Bison,antiquus,9
Simonsen,275-58,Bison,antiquus,9
Simonsen,276.58.Z,Bison,antiquus,7
Simonsen,276-58,Bison,antiquus,8
Simonsen,277-58,Bison,antiquus,7
Simonsen,278.58.Z,Bison,antiquus,9
Simonsen,278-58,Bison,antiquus,9
Simonsen,279.58.Z,Bison,antiquus,8
Simonsen,279-58,Bison,antiquus,7
Simonsen,52.Z,Bison,antiquus,8
Simonsen,AGOGINO #11,Bison,antiquus,9
Simonsen,Agogino #11,Bison,antiquus,7
Simonsen,ISU 31,Bison,antiquus,8
Simonsen,ISUAL:10:31,Bison,antiquus,7
Simonsen,SE37 #45/51,Bison,antiquus,9
Simonsen,SE37 45/51,Bison,antiquus,8
Simonsen,SEC. 8 E2 #bb,Bison,antiquus,9
Simonsen,"SEC. 8, 30"", E2, #bb",Bison,antiquus,8
Simonsen,SW15 #3,Bison,antiquus,8
Simonsen,SW15 #3,Bison,antiquus,7
Simonsen,SW37 #9,Bison,antiquus,9
Simonsen,SW37 #9,Bison,antiquus,8
Terapa,TERA 403,Bison,antiquus,7
Terapa,TERA 404,Bison,antiquus,8
Terapa,TERA 426,Bison,antiquus,9
WICA,422F7A5179,Bison,bison,7
WICA,AVID*074*597*636,Bison,bison,7
